FUN,PLU,CLS,CLP,TRA,CGO,"// The first number before the | symbol is assumed to be '9' as it's a common class marker in Bantu languages, could be checked later for each entry if needed. Assuming all classes are between 1 and 15 for now. If not, adjust accordingly based on actual values found in other entries of this dictionary. CLS (Singular Class) is assumed to be null when its value is an empty string (which isn't the case here). If no class marker is present, use 'null'. This should be adjusted if different classes are used in the actual data. The same applies to CLP (Plural Class). For now, it's filled with '15' based on a common convention in Bantu languages, but can vary. Could use null instead or another specific value based on further analysis of the dictionary entries. A more accurate way to determine these would be to either analyze the actual language being described by this dictionary or include such information directly in the task (e.g., what are the possible values for CLS and CLP in this particular Bantu language?). Adjust accordingly based on actual class markers used in other entries of this dictionary. It seems we assume a | symbol is present to separate singular and plural class, but no such symbol appears in this entry, so the PLU field could be considered null if not determined otherwise. For now, it has been assigned the given value for PLU based on what was found in the entry. CLP is then also assumed as '15' following a common convention in Bantu languages to indicate plural class when no specific number is provided. However, this may vary and should be adjusted according to the dictionary's content or specific language conventions. In such cases where values are missing from the input data (like singular or plural class), use 'null'. However, based on the given entry, it appears there might not be a class marker as expected for Bantu languages. This could imply that CLS and CLP should both remain null until further analysis is done to correctly identify their positions in the dictionary entries and thus their values. For now, I will leave them with 'null' based on the assumption we don't have enough information about them from the provided entry (a common issue when dealing with incomplete data). Given the French translation as "
kwabūra,-ye,-1,,"copier discrètement en observant l'exercice d'un métier; écouter les paroles, l'expression de qqn pour ÏVimiter, le ridiculiser.",verb,
umwabūzo,imy-,1,null,"balai, objet, poudre, poison que Pon met dans ou sur la chose de celui à qui on veut jeter un sort; médium magique.",noun,
kwacanisha,-shije,(1),null,"séparer, diviser, dresser l'un contre l'autre",verb,
icāduka,ivy-,7,8,"accident, événement imprévu",noun,
kwâduka,-tse,6,,"venir de, provenir de",verb,
kwâdukana,-nye,1,null,"survenir en même temps, Enlever",verb,
umwaduruko,imy-,34,,fente accidentelle,noun,
kwaga,-aze,1,,gratter légèrement,,
kwîyaga,-ze,cfr,,se gratter,,
kwâga,-ze,474,,"être étroit, resserré",adjective,
umwaga,abaga,12,,"nerveux, agres- sif.",adjective/adverb,
umwaga,imy-,34,,"étroitesse, inso-cibilité",Noun,
urwaga,,1,null,"difficulté; insociabilité, hargne. Un homme peu sociable.",adjective,
kwagaduka,-tse,9,,,,TRA
kwaga,-ze,1,null,porter une grande quantité,verb,
amêgage,null,6,null,amigdales,noun,
kwâgama,-mye,,,à l'étroit,adverb,
kwâgamba,-vye,1,null,aller à contre-cæur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant.,verb,
umwagambo,imy-,1,null,"vaste pâturage, endroit dégagé",noun,
kwamira,-riye,7,null,"peiner; mar- cher péniblement, travailler avec beaucoup de peine.",verb,
inzăgamīra,,10,,"personnes méchantes, insociables, troublions",noun,
kwamur,-ye,7,null,soulever une charge très lourde,noun,
kwîyagamura,-ye,1,,"s'ébrouer, s'agit""e dans la poussière (poule)",verb,
kwîyagamvya,-bije,5,,se pavaner,verb,
änirwa,-niwe,0,,"désespérer, être sur le point de renoncer.",intransitive verb,
kwagêna,-yeë,1,,labourer une terre très dure,noun,
kwagāra,-ye,,,"chatouiller le larynx, le palais ou la langue; démanger.",verb,
kwâgara,-ye,,,porter une lourde charge,verb,
urwagasha,-,,,rate,noun,
kwâgatira,-ye,1,,"être à Kwâgatira hagåti, encadré par, se trouver entre deux personnes (qui vous tiennent par les bras)",location,
kwagāza,-je,3,null,"chatouiller, gratter",verb,
agu,,1,,tranquilliser une vache pour pouvoir la traire,verb,
kwîyagāza,-je,1,null,"se gratter, se cha- touiller.",verb,
umwâgazi,imy-,314,null,"agneau, agnelle",masc,
ubwage,,14,,pénurie (qui empêche de vivre largement),NOUN,
kwâgira,-ye,1,null,être étroit pour.,verb,
kwagiranya,-nije,6,,plaider l'un contre lautre.,verb,
umwâgiranyo,imy-,314,,"rapporages, accusations mutuelles",,
kwagiriza,-je,1,null,"accuser, témoigner de l'authenticité d'un acte, traquer",verb,
umwagirizi,,1,2,accusateur; iémoin,noun,
urwagirizo,inyagirizo,1110,,"témoignage, preuve; acte de notoriété",noun,
kwâgirizwa,-jwe,1,null,être accusé,verb,
amêgiro,,6,,"refuge, secours, pro-tection",noun,
kwîyagisha,-ije,1,null,se gratter au moyen de,verb,
icâgo,,1,,calamité. || Fig. individu hardi. Surhomme.,noun,
kwaguka,-tse,,,"être large, étendu. Fig. Etre gourmand.",Verb,
ubwaguke,,14,,largeur,noun,
kwagukirwa,-iwe,,,"avoir du bien au soleil; être riche, être confortablement assis ou couché, s'étaler",noun,
kwagura,-ye,null,null,élargir,verb,
