BATCH_START_INDEX,BATCH_INDICES,FAILED,RAW_OUTPUT
620,"[620, 621, 622, 623]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""ibábwe"", ""AFFIX"": ""ama-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""odeur de chair brâlée"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""bacó"", ""AFFIX"": ""v."", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""ôbo"", ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""kubddika"", ""AFFIX"": ""-tse"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""repiquer, replanter"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""kwîibaddika"", ""AFFIX"": ""-tse"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""s'asseoir sans y ĉtre invité, se fourrer en tel endroit"", ""POS"": ""v.""}]}"
956,"[956, 957, 958, 959]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""umubaázagizo"", ""AFFIX"": ""imi-"", ""NOUN_CLASS"": ""3|4"", ""DESCRIPTION"": ""information serrée"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""kubâzagura"", ""AFFIX"": ""-yee"", ""NOUN_CLASS"": null, ""DESCRIPTION"": null, ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""umubâzaguro"", ""AFFIX"": ""imi-"", ""NOUN_CLASS"": ""3l4"", ""DESCRIPTION"": ""dounleurs d'entrailles"", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""kubázaguza"", ""AFFIX"": ""-je"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""accabler de quesHONS"", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""umubāzano"", ""AFFIX"": ""imi"", ""NOUN_CLASS"": ""3l4"", ""DESCRIPTION"": ""remède (raclures d'écorces)"", ""POS"": ""n.""}]}"
1164,"[1164, 1165, 1166, 1167]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""mauvais"", ""AFFIX"": ""rebutant"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""contagieuse"", ""POS"": ""adj.""}, {""id"": ""1"", ""WORD"": ""amâbi"", ""AFFIX"": null, ""NOUN_CLASS"": ""6"", ""DESCRIPTION"": ""retour du pian"", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""ikibi"", ""AFFIX"": null, ""NOUN_CLASS"": ""7|8"", ""DESCRIPTION"": ""le mal, le péché"", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""umunyábibi"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": ""1|2"", ""DESCRIPTION"": ""pécheur"", ""POS"": ""n.""}]}"
1208,"[1208, 1209, 1210, 1211]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kubîkira"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""conserver pour"", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""kubîkīra"", ""AFFIX"": ""-kīriye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""endormir un enfant"", ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""kubîkiririza"", ""AFFIX"": ""-je"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""faire de petiies économies d'une façon continye"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""kubŝîkiriza"", ""AFFIX"": ""-rije"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""avoir la manie de conserver la nourriture"", ""POS"": ""v.""}]}"
1292,"[1292, 1293, 1294, 1295]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kubísānya"", ""AFFIX"": ""-nije"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""être posé en travers de"", ""POS"": ""prep.""}, {""id"": ""1"", ""WORD"": ""umubísha"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": ""14"", ""DESCRIPTION"": ""ennemi"", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""kubísha"", ""AFFIX"": ""-she"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""devenir méchant"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""kubîsha"", ""AFFIX"": ""-bîhije ou -bîshe"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""avoir mauvais goût"", ""POS"": ""v.""}]}"
1388,"[1388, 1389, 1390, 1391]",1,
1396,"[1396, 1397, 1398, 1399]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""imbombo"", ""AFFIX"": null, ""NOUN_CLASS"": ""9|10"", ""DESCRIPTION"": ""bonbon"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""umubğmbo"", ""AFFIX"": ""imi-"", ""NOUN_CLASS"": ""344"", ""DESCRIPTION"": ""gros colis, grand paquet, charge qui bruit"", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""akanyíganzamubcěmbo"", ""AFFIX"": ""-nyiganz-"", ""NOUN_CLASS"": ""12"", ""DESCRIPTION"": ""faire trembler, -bōmbo 3 paquet"", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""kubômboka"", ""AFFIX"": ""-tse"", ""DESCRIPTION"": ""bruire (feuilles sèches)"", ""POS"": ""v.""}]}"
1460,"[1460, 1461, 1462, 1463]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kubonjabonja"", ""AFFIX"": ""-nje"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""dormir d'ennui, d'oisiveté"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""umubónobóno"", ""AFFIX"": ""imi-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""graine de ricin. ikibónobóno"", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""kubónwa"", ""AFFIX"": ""-nywe"", ""NOUN_CLASS"": ""9|10"", ""DESCRIPTION"": ""être irouvé"", ""POS"": ""adj.""}, {""id"": ""3"", ""WORD"": ""indóraríibōnye"", ""AFFIX"": null, ""NOUN_CLASS"": ""9|10"", ""DESCRIPTION"": ""expérimenté"", ""POS"": ""adj.""}]}"
1484,"[1484, 1485, 1486, 1487]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""umuborgo"", ""AFFIX"": ""imi-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""gémissement"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""amaborōgo"", ""AFFIX"": null, ""NOUN_CLASS"": ""6"", ""DESCRIPTION"": ""geignements"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""geignement"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""geindre"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""kuborogota"", ""AFFIX"": ""-se"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""supplier en vain"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""ikiborōza"", ""AFFIX"": ""ibi-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""Girardinia condensata"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""kubôtēraa"", ""AFFIX"": ""-reye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""somnoler paresseusement"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""kwîibōtērera"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""faire tranquillement un petit somme"", ""POS"": ""v.""}, {""id"": ""0"", ""WORD"": ""akaboti"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""fermentation lente"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""kuboōya"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""être boy"", ""POS"": ""v.""}, {""id"": ""0"", ""WORD"": ""umubāyi"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""boy"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""urubôyi"", ""AFFIX"": ""im-"", ""NOUN_CLASS"": ""11|10"", ""DESCRIPTION"": ""aiguillon des abeilles"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""untutānibyi"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""boy-chauffeur"", ""POS"": ""n.""}, {""id"": ""0"", ""WORD"": ""imboyo"", ""AFFIX"": null, ""NOUN_CLASS"": ""se"", ""DESCRIPTION"": ""se"", ""POS"": ""se""}, {""id"": ""0"", ""urubùbi"": ""se"", ""POS"": ""se""},
{""id"": ""1"", ""urubùbi"": ""se"", ""POS"": ""se""},
{""id"": ""2"", ""urubùbi"": ""se"", ""POS"": ""se""},
{""id"": ""3"", ""urubùbi"": ""se"", ""POS"": ""se""}
]






}"
1532,"[1532, 1533, 1534, 1535]",1,
1548,"[1548, 1549, 1550, 1551]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""umubûmyvyi"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""ustensile en terre ctiite"", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""nybuna"", ""AFFIX"": ""v-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": null, ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""kubúna"", ""AFFIX"": ""-nye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""montrer son séant"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""kubúnabuna"", ""AFFIX"": ""-búnabunye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""s'activer aux soins du ménage"", ""POS"": ""v.""}]}"
1620,"[1620, 1621, 1622, 1623]",1,"{""entries"": [{""id"": ""0"", ""WORD"": ""kwibura"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""ne pas regarder u la dépense. manger à sasiété."", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""urubúra"", ""AFFIX"": null, ""NOUN_CLASS"": ""11"", ""DESCRIPTION"": ""grêle."", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""imbúra"", ""AFFIX"": null, ""NOUN_CLASS"": ""910"", ""DESCRIPTION"": ""femme dont les enfants meurent. Var. imbúraaabâna."", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""nīburá"", ""AFFIX"": null, ""NOUN_CLASS"": null, ""DESCRIPTION"": ""ou, ou bien, Syn. 'canké. vyâburá, (inv.), (cfr -búr-), plutôt. Syn. 'kīiburé. kubra, -ye, avertir, prévenir. N'akanyámunêzá babūra umuganuro, izo ngoma zibūra umuganuro, avec joie, on amnonce la fête des semailles, et ces tambours annoncent la fête des semailles. Etre présage de. Kímokeye ku rugó rw'umuntu, bēmera kó kibūra uwuzôpfá muri rwo, guand le chacal hurle près du kraal, les Rundi prétendent que c'est signe de mori. || Prophétiser. Prov, 1558. kwibūra, -ye, (cfr -bûr-) se faire connaître, s'annoncer, Syn. kwimenyēsha, Prov. 433. imbúrabâna, v. -ana, imbúrabúgiríre, v. -giríre. kubúrabura, -ye, (cfr -búr-), être changeant, versatile, changer souvent d'avis, || Etre inquiet. || Etre honteux, Syn. gutētērwa. Prov. 1627. kubûrabura, -bûrabūye, (cfr -bûr-), être averti par plusieurs, recevoir des avertissements de différents côtés. ikibúrabúryo, v. -ryo. akabúrabúryo, v. -ryo. kubúranirwa, -we, (implying a state or action related to the context), procéder, imposer, (contextual interpretation), kubûranirwa, -we, (contextual interpretation), procéder, (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (contextual interpretation), (context"
1840,"[1840, 1841, 1842, 1843]",0,"{
  ""entries"": [
    {
      ""id"": ""0"",
      ""WORD"": ""igicâmurňndi"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": null,
      ""POS"": ""v.""
    },
    {
      ""id"": ""1"",
      ""WORD"": ""agacâmutwé"",
      ""AFFIX"": ""-wé"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": null,
      ""POS"": ""v.""
    },
    {
      ""id"": ""2"",
      ""WORD"": ""incâmuzingi"",
      ""AFFIX"": ""-zingi"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": null,
      ""POS"": ""v.""
    },
    {
      ""id"": ""3"",
      ""WORD"": ""urucâmuzingi"",
      ""AFFIX"": ""-zingi"",
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": null,
      ""POS"": ""v.""
    }
  ]
}"
1876,"[1876, 1877, 1878, 1879]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""gucânya"", ""AFFIX"": ""-nije"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""la discorde entre deux personnes."", ""POS"": ""n.""}, {""id"": ""1"", ""WORD"": ""umucâânyi"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": ""1|2"", ""DESCRIPTION"": ""commère."", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""umucânzi"", ""AFFIX"": ""aba-"", ""NOUN_CLASS"": ""12"", ""DESCRIPTION"": ""celui qui mélange les cartes aii jeu,"", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""gucápaa"", ""AFFIX"": ""-pye"", ""NOUN_CLASS"": ""5|9il6"", ""DESCRIPTION"": ""dessiner. || Photographier. imprimer, || Gucápa umuntu gifler, souffleter, icâpa, ama-"", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""gucápira"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""photographier à, pour. | Crépir, igicàpo, ibi-, 7|8, (cfr -cápur-), dessin; photographie."", ""POS"": ""v.""}]}"
2088,"[2088, 2089, 2090, 2091]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""gucúma"", ""AFFIX"": ""mye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""donner un coup pour aplatir. || Devenir court. Syn. kugúfira. || Gucúmaaa ingendo, ralentir la marche. || Gucúma imări, produire pour s'enrichir."", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""agacúma"", ""AFFIX"": ""uddu-"", ""NOUN_CLASS"": ""1213"", ""DESCRIPTION"": ""petite calebasse dont on se sert pour s'administrer un lavement."", ""POS"": ""n.""}, {""id"": ""2"", ""WORD"": ""gucúmagura"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""percer à plusieurs reprises, frapper de plusiers coups de lance, de couteau."", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""gucumba"", ""AFFIX"": ""-mvye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""pétrir, préparer de la pâte, | Gucumbaaa búyonga, être en difficultés, être dans de beaux draps. || « Umukwé yasânze inábukwé acûmba ati mběga muragumye ? Nawé ati mběcgaaa mupfâsóni inzara ntítumazé. Umukwé asubizaáyo ati mwehó nûûkó mukironká nûûbwó mucumbîsha ukubóko kumwėé!, un gendre trouva sa belle-mère à la maison en train de préparer de la pâte et lui dit: comment cela va-t-il? Oh, mon fils, nous mourons de faim. Le beau-fils lui répliqua: vous autres, au moms, vous avez encore de quoi pétrir ne fût-ce que d'un bras.» En cas de pénurie, il faut partager le peu qu'on a. || Mataxer, Izitámenétse musí barashóbora kuzicumbámwoo, celles qui ne sont pas cassées à la base, on peut les employer pour y malaxer (la terre glaise). (Prov. -w- 467, -ir- 1895, -irw- 2195)."", ""POS"": ""v.""}]}"
2184,"[2184, 2185, 2186, 2187]",1,
2284,"[2284, 2285, 2286, 2287]",1,
2322,[2322],0,"{
  ""entries"": [
    {
      ""id"": ""0"",
      ""WORD"": ""indârabútura"",
      ""AFFIX"": null,
      ""NOUN_CLASS"": null,
      ""DESCRIPTION"": ""tura"",
      ""POS"": ""v.""
    }
  ]
}"
2324,"[2324, 2325, 2326, 2327]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""indâraruhŭùnga"", ""AFFIX"": null, ""NOUN_CLASS"": ""9|10"", ""DESCRIPTION"": ""habile, rapide, qui comprend vite. longue pièce en fer, en acier, poutrelle, rail. costaud, komme robuste."", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""kudaraza"", ""AFFIX"": ""-je"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""invoquer Kirangaā. Syn. kubandwa."", ""POS"": ""v.""}, {""id"": ""2"", ""WORD"": ""kudáraza"", ""AFFIX"": ""-je"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""mélanger les couleurs dans un travail de vannerie. Faire des tapis bariolés. Broder."", ""POS"": ""v.""}, {""id"": ""3"", ""WORD"": ""idaráza"", ""AFFIX"": null, ""NOUN_CLASS"": ""5"", ""DESCRIPTION"": ""secrets concernant Kiranga. se déshonorer, dévoiler un secret."", ""POS"": ""v.""}]}"
2376,"[2376, 2377, 2378, 2379]",0,"{""entries"": [{""id"": ""0"", ""WORD"": ""kudébagura"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""raconter des bêtises"", ""POS"": ""v.""}, {""id"": ""1"", ""WORD"": ""kudebara"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""être paresseux, désæuvré, nonchalant; être indifférent à tout"", ""POS"": ""adj.""}, {""id"": ""2"", ""WORD"": ""kudebarara"", ""AFFIX"": ""-ye"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""lèvre inférieure pendante et qui laisse voir les dents"", ""POS"": ""n.""}, {""id"": ""3"", ""WORD"": ""idébe"", ""AFFIX"": ""ama-"", ""NOUN_CLASS"": null, ""DESCRIPTION"": ""touque"", ""POS"": ""n.""}]}"
