WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS
kwââcanīsha,-shije,,"séparer, || Diviser, dresser l'un conire l'autre. Syn., kwânkanisha.",
icāduka,ivy-,7|8,accident,n
kwâduka,-tse,7,"venir de, provenir de, gikôkó cādutsė he",v
kwâdukkkana,-nye,,survenir en même temps,v
umwâduruko,imy-,34,fente accidentelle,n
kwaga,-aze,,gratter légèrement.,
kwîyaga,-ze,,se gratter.,
kwâga,-ze,,"ĉtre étroit, resserré,",
umwăga,abăga,1(2),"nerveux, agressif. Umuntu wumwăga, personne peu sociable.",
umwăga,imy-,3|4,"étroitesse, insociabilité.",n
urwăga,11,,"difficulté; insociabilité, hargne.",n
kwâgaduka,-tse,,"étre désert,",n
kwâgāga,-ze,,"porter une grande guantité d'objeis. Syn. kwâgara. Kwâgāga ku-nda, être veniru, ventripaoteni.",v
amăgāge,6,,amygdales.,
kwââgama,-mye,,à l'étroit.,
kwâgambaa,-vye,,"aller à contre-Ccœur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant. Inzovu irâgamba mu kabândé, un éléphant avance dans la vallée. || Déborder (rivièrej, || Gouverner un grand pays. i étendre sur, Ruvûbu rurâgamba kuva i Gatára gushika mu kiyága Vigitōriyá, la Ruvubu prend sa source aux environs de Gatara cet se déverse dans le lac Victoria.",
umwâgambo,imy-,3|4,"vaste endroit dégagé. Kurîisha umwâgambo, pâturer, paître dans un espace étendu où il n'y a aucune entrave, aucune haie.",
kwâgamiīira,-riye,,"marcher péniblement, travailler avec beaucoup de peine.",verb
kwâgamira,kw-isúka,,piocher paresseusement.,verb
kwâgamiīira,ku-nda,,"être près d'accoucher, être à terme (femnme enceinte)",verb
inzăgamīra,,10,"personnes mechantes, insociables, troublions: on donne ce nort à ceux qui troublent les cérémonies royales lors du « Muganuro », fête des prémices.",noun
kwâgamura,-ye,,soulever une charge très lourde.,verb
kwîyagamura,-ye,,"s'ébrouer, s'agiter dans la poussière (poule). Syn. kwîvurunga.",verb
kwîyagamvya,-bije,,se pavaner,
kwâganirwa,-niwe,,"désespérer, être sur le point de renoncer",
kwââgānura,-ye,,"labourer une terre très dure. Frapper avec force, || Elargir ses champs.",
kwagāra,-ye,,"chatouiller le larynx, te palais ou la langue, démanger.",
kwâgara,-ye,,porter une lourde charge.,v
kwâgara,,,"avoir le ventre bombé, avoir une grosse tête",v
kwâgatira,-ye,,"éire à étroit. Kwâgatira hagâti, ĉtre encadré par, se trouver enire deux personnes (qui vous tiennent par les bras).",v
kwagāza,-je,,"chatouiller, gratter légèrement, Syn. gukwashagura. Kwagāza umuntu, fiaiter qqn. Kwagaza inká, tranguilliser une vache pour pouvoir la traire. Kwagāza umubïindi, gratter une cruche que Pon est en - train de remplir de boisson en souhaitant qu’il en reste en trop. || Fig. KubwîÎra inkingi ngw unyagââze, être sans enfants, ne pas avoir d'enfants.",v
urwâgashá,,11|10,rate.,n
kwîyagāzaa,-je,,"se gratter, se chatotiiller",
umwâāgazi,imy-,3|4,"agneau, agnelle. Umwâgazi wintama, le petit d'une brebis; umwâgazi wimpėène, cabri, chevreau.",
ubwăge,,14,pénurie (qui empêche de vivre largement). Prov. 2305-2306.,
kwâgira,-ye,,"être étroit pour. Fig. Kirănyagiye, tout le monde m'en veut, (litt. le pays est étroit pour moi). | Kwââgira umuntu, dependre de qan ou demander logement à qqn. il Kwâgira Nàmpiri, se fier à qqn. qui ne jouit d'aucun crédit. Prov. 601.",
kwâgiranya,-nije,,plaider lun contre lautre.,
umwâgiranyo,imy-,3|4,"rapportages, accusations mutuelles.",
kwâgiriza,-je,,accuser.,
umwâgirizi,,12,accusaateur; témoin.,
urwâgirizo,inyágirizo,,"témoignage, preuve; acte de notoriété.",
kwâgirizwa,-jwe,,"être dans la peine, Kwââgirizwa n'indwâra, étre souvent malade, être maladif. Kwâgirizwa n'ûbwôro, devenir irès pauvre.",
amâgiro,,6,"refuge, secours, protection. Syn. umwÎtūzo, amasabo. Amâgiro ntâbâ hōse, on ne trouve pas secours partout.",
kwiyagisha,-1je,,"se graiter au moyen de. Rāba abăndi itûnga rirahinda nănje nsigaje kwîyagīisha urujo, voilà comme les autres sont riches, quant à moi je n'ai plus rien, Kwiyagisha igiti, ne pas avoir d'enfants, être sans descendance. Prov. 1132.",
icâgo,,,calamité.,
kwâguka,-tse,,étendu.,
ubwăguke,,14,largeur.,
kwââgukirwa,-iwe,,avoir du bien ati soteil; ĉtre riche. || Etre confortablement assis òu couché. S'étaler.,
kwâgura,-ve,,élargir,verb
ahā,,,,interjection
icâha,ivy-,7|8,"gêne, faute, péché",noun
ukwâha,am-,15|6,aisselle,noun
ubwâkwahá,,,poils sous l'aisselle,
ubucâkwahá,,,poils sous l'aisselle,
ubushâkwahá,,,poils aux aisselles,
kwâha,-she,,"prendre de la main, détacher de, cueillir",
ahă,,,"interjection marquant le regret: c'est dommage! Abă!, sinari mbīzi, c'est dommage! je ne le savais pas?",interjection
urwaha,1l,,gros ennuis.,adjective
kwââhagirika,-tse,,courir çà et là. Syn. kwirukanga.,verb
kwââhagura,-ye,,"cueillir rapidement. Kwāhagura umutsíma, manger goulûment de la pâte, rafler sa part.",verb
kwiyahagura,-ye,,se fatiguer. Trimer.,
kwîyahagurira,-yee,,cueillir vite pour soi.,
umwiyahaguro,imy-,3|4,"activité,",
kwâêhaguza,-je,,"cueillir vite au moyen de, Kwâbaguza umuntu, aider à cueillir rapidement.",
ubwiyahaguzi,14,,façon dont on fait effort.,
kwâhāha,-she,,"gêner, Ennuyer.",
ahăndi,,,,v.
ahăndihó,-ndihó,,ah!,v.
icāhi,ivy-,7(8),peau animal ou cćtoffe servant de couchette aux bébés. Terme protocolaire désignant tout ce que l'on étend à l'endroit où le roi s'assied ou se couche.,
kwââhira,-ye,,"cueillir pour. Nkâhira ubwatsi bw'inyána, j'arracherais pour les veaux. || Calotter : guhûragura, || Avoir faim plusieurs jours. Manger avec beaucoup d'appétit.",
kwîyahira,-ye,,"cueillir pour soi. S'ukwîruka magati yīyáhira, íl sait très bien COUYEF,",
kwâhīra,-riye,,"récolter des feuilles médicinales, des simples.",
kwâhirana,-nye,,arracher des herbes avec gan.,V
Jondamaniyáhire,la,,sobriquet du mari dont la femme porte les culottes,N
kwâhirira,-ye,,arracher des herbes fraiches pour en donner aux veaux,V
kwâhirirwa,-âhiriwe,,"recevoir du fourrage (veau). Inyána yāhirirwa, veau de six â huit semaimes.",V
kwâhiza,-jee,,aider à arracher des herbes; arracher au moyen de.,v
umwâho,imy-,3|14,jeune tubercule de colocase.,n
ukurâho,,,,v
ahore,,,abréviation de aho rēró; locution interjective: à la bonne heure!,inv
ahŭbwo,,,"autant que, au contraire.",
Abahbuka,,2,mauvaise famille de Hima.,
kwâhuka,-tse,,aller paitre (troupeau de vaches). Syn. kurîsha.,
umwâhuká,imy-,34,"fossé de drainage. Syn. umugěnde, umugazo.",
kwâhbukāna,-nye,,"se briser en deux, Tomber, se séparer de sa souche.",v
kwâhbukānira,-ye,,"divorcer à cause de, à tel endroit.",v
kwâhukānya,-nije,,faire divorcer. Séparer.,v
kwîyahukiza,-je,,s'aventurer. Commencer à.,v
umwîyahukizo,imy-,3|4,"vagabondage; à aventure, Syn. ubwângāzi.",
kwâhura,-ye,,faire paître (iroupeau).,
kwîyahura,-ye,,"se suicider. Uyu ní yapfá nzōca nîyahure, si ce? (enfant)-ci meurt, je me suiciderai. || Fig. S'évertuer à jaire une chose au-dessus de ses forces. Prov. 994, 998, 1728.",
nyawïiyahura,vyanyáwïyahbura,,"phalène, sorte de papillon. IIyó nyawïyahura kītûye mu zîÎko, bagira ngo hari umushitsi bakundá arí mu kūza, lorsauw'un papillon tombe dans le foyer, on prétend que c'est le présage dune visite agréable,",
kwâhuranya,-nije,,couper. séparer en deux tronçons,
kwîyahurira,-iye,,"se suicider à cause de, pour",
umwâhuro,imy-,3|4,une rigole,
ubwâhuro,14,,"recevoir les lotions rituelles qui permettront à une jeune fille de se marier sans crainte, si autrefois elle a dû kubandwa; ces lotions lui seront adrministrées par le devin sous le même arbre sacré où elle a participé aux rites d'initiation (kubandwa).",
kwìyahuaza,-je,,se fuer au moyen de.,
urwâhuzo,inz-,11(t0),sillon fatit par la houe dans un champ. Coup de pioche.,
umwăhwa,imy-,3l4,"simples; herbe, feuille, racine d'arbre ou d'herbe servant de remède.",
kwaka,-tse,,"briller, luire, s'allioner, brûler.",
kwaka,-tse,null,Prendre une chose à autrui.,verb
kwîyaka,-tse,null,échapper.,verb
umwâka,imy-,34|an,"année, période de douze lunaisons, Uyu mwâka, cette année-ci. Mwàkūyu, Pan prochain, Pan dernier. Umwaku wa mwâkūyu, parole licencieuse, personne indigne. Uyu mwâka n'uwa kámwe, cette année sera décisive pour certains. Umwàâàka uba urashíze, à la fin de l'année, l'année finie, Umwâka ni waherá, lorsque nous serons à la fin de Par ext. délai très long et indéterminée. Kumara umwâka ku gikórwa, lambiner dans son travail. Au plur. il y a très longtemps: yagiye imyâka, i y a une éternité qwil est parti, Imyâka y'ivú, dans Fantiquité. || Récolte. Kuryá umwâka, manger de la pâte d'éleusine de la nouvelle récolte. Autrefois, les années se calculaient d'après les récoltes. Prov. 472, 530, 788, 1422, 1808, 1992, 2078, 2423, 2607. FROUWBORST 122",noun
umwakaāka,imy-,34|null,"nouveauté un habit. || Blancheur. Syn. ubwëre, umwërāsi.",noun
urwakāka,,,"collection d'objets brillants, animés.",n
kwakāka,-tse,,"marcher le cœur léger, sans se soucier de rien, Syn. gukēëmagira.",v
kwakākana,-nye,,"ennuyer, inportuner qqn à tour de rôle. || Colporter rapidement (parole, nouvelle). || Kwakākana ivyúkuryá, manger gloutonnement (à plusieurs). Syn. gutânguranwa,",v
umwakākano,imy-,,"insociabilité, gêne causée par la mésentente. Syn. umusindo.",n
kwakana,-nye,,cfr -ak- brûler,
kwakana,-nye,,cfr -ak- demander,
urwâgkanákana,inz-,1|10,fanon,
umwâkanywa,3,,"mot qui revient spontanément dans la bouche, locution qu'on a l'habitude de glisser à tout bout de champ dans la conversation.",
ubwaăkara,v. -kara,,,
amākira,,,averses quì annoncent le début de la grande saison sèche. Syn. impëshi. || Bruit de sabots que font les vaches en courant. || Filet de pêche à mailles targes. Syn. umukwăbu (sw.).,
kwakira,,,"marcher fièrement dun pas leste. . -riye, (cfr -ak- demander), accepter ce qu'on vous tend, prendre. Uraza wākire vyâà bindí ku mugóróba, tu viendras prendre ce soir ce dont nous avons parié. Wakîre nmâmâzi yó mw-isūimo, prends aussi de Veau dans une chute. Kiranga lui dit d'accepter l'offrande. Syn. kwabīra. Kwakira umushitsi, recevoir un visiteur, accueillir un hôte. Kwakira umuvyêyi, aider une femnme en couches. Kwakira vmuntu, aider qan. Syn. kuruhtra, | Kwakira ururirimbo, reprendre le refrain dun chant. || S'accoupler, s'étreindre dans lePunion sexuelle. Kwakīira ubugeni, coutume qui oblige les parents d'une jeune fille demandée en mariage à avoir des relations sexuelles entre eux pour sceller et féconder de l'inkwâno ou gage matrimonial. Prov, 1880,",
kwìyakira,riye,,"accoucher sans être aidée. || Fig. Kuvyâra ukîyakīra, être heu reux, avotr de la chance. Syn. guhîrwa.",
kwakirana,-nye,,"briller, resplendir dune lumière éclatante.",VERB
kwakiranwa,-anywe,,porter une charge à tour de,VERB
kwakiranya,-nije,,"employer alternativement des outils, des instruments.",VERB
umwakiranyo,imy-,3|4,"action Temployer alternativement, || Son cadencé du tambour; rythme alterné, Syn. umutimbo wingoma.",NOUN
kwakīrira,-yee,,prendre à la place de.,v
kwakirizaa,-je,,"recevoir, prendre au moyen de.",v
kwakiriza,-je,,"activer le feu pour, ranimer le feu au moyen de.",v
icākirizo,ivyakirizo,118,pot à lait (en bois).,n
umwakiro,imy-,,"aider une pariuriente, accouchement.",
kwakirwa,-we,,"être desséchés, souffrir de la sêcheresse (champs). Syn. kuragarira. Avoir soif. Syn. kunyôterwa.",
kwakirwa,-riwe,,"être agréé, accepté, accueilli. Imbónero y'ûbûki yarâkīrwa, le cruchon de miel était remis (pour qu 'on le dépose chez le rai). || Néol. étre épousée (fille).",
Abākīsho,2,,"mauvaise famille twa; autrefois, étaient chargés de trarsmettre Jes présents offerts au roi.",
umwăku,Imy-,,"Malchance, vilénie.",
ubwăku,14,,Fausseté.,
icăkunze,v.,,,
kwakura,ye,,"appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire.",
kwakuza,-je,,faire venir qgan en appelant subrepticementi. Syn. guhámagaza.,v
kwakwa,,1|2,"prélever, exiger.",v
kwakwa,,,"être victime d'une fausse accusation, devoir payer injustement une amende.",v
kwakwa,,,avoir un hôte à loger.,v
kwakwa,,,"être grossier, sans gêne,",v
kwakwa,,,"être brutal, sans cœur.",v
ubwâkwahá,,,,v
alifu,,,(titre de l'abécédaire employé dans les classes de simple lecture).,v
kwâma,-ââmye,,"porter du fruit, fructifier, être Jécond.",v
Hāamàáko,,,"tes fruits de cette plante sont utilisés comime calebasses, gourdes, barattes et gobelets,",n
kwâma,,,"avoir la gale, être galeux.",v
kwâma,,,fleurir,v
kwâma,,,"perdre son temps, travailler sans succès,",v
Yāmye,,,"il a travaillé sans arrêt, il a été diligent.",v
múgavye,,,soyez sans cesse sur vos gardes.,v
Murāma,,,cherchez donc toujours à aller au ciel.,v
Igisābo,,,il y a toujours une ou deux barattes.,n
Umunwa,,,fa bouche du menteur est continuellement en mouvement.,n
kwâma,-âmye,,"écarter de soi (par des gestes, des cris). Kwâma isāzi, chasser les mouches.",
kwiyama,-mye,,"(cfr empêcher, chasser, se débarrasser, écarter de soi, repousser avec des gestes. Kwiyama isāzi, chasser les mouches de sa plaie.",
kwâmaegira,-ye,,"(cfr -âm-), se rengorger, marcher avec fierté. Syn. kwîreëebhuūra.",
kwâmagiza,-je,,"(cfr -âm- fructifier), semer. Kwâmagiza amasâka, semer du sorgho. | Intr. commencer, entamer. || Kwâmagiza umuntu, ennuyer, gêner, embarrasser qqn. Syn. kubúragiza.",
kwâmáâhho,-myėho,,"être toujours, être éternel.",
Nyawămaho,,,,
kwâmakara,-ye,,"s'acagnarder, mener l'existence oisiye d'une grande dame. Syn. kwâmikara.",
kwâmāma,-mye,,"empêcher plusieurs fois qqn de faire mal Kwâmaāma inyoni, chasser des oiseaux d'un champ.",
icāmamiryango,-ryango,,,
kwâmāmura,-ye,,"chasser des insectes ailés, des oiseaux.",v
kwiîyamāmura,-ye,,"se débarrasser des mouches qui voltigent autour de soi. Kwîyamamura umuntu, se débarrasser d'un casse-pieds, d'ut gÊneEUTF,",v
kwâmannna,-nye,,"être toujours ensemble. Se fréquenter, se rencontrer souvent. Syn. kugumana, || Faire habituellement. Kwâmana amarira, pleurnicher, Kwâmana indûûrú, se disputer souvent, être batailleur, querelleur. Syn. guhbârira. Kwâmana imyênda, être criblé de deites. Kwàmana ubwôba, être peureux, poltron, craintif, timide, Kwâârmana amagànya, être chagrin, avoir un caractère chagrin. Prov. 1515-1516, 1521, 2082.",v
kwîyamana,-nye,,"être acariâtre, se chercher querelle, se battre.",
urwîyamané,1i,,"brouille, dispute enfantine.",
kwâmangara,-ye,i|,s'enfuir au loin.,
kwîyamangaza,-je,,"faire de grands gestes pour écarter (des importuns, des oiseaux, du bétail, etce.).",
kwîyamangira,-ye,,faire beaucoup de gestes pour écarter de soi (des insectes par ex.),
kwîyamangura,-ye,,"essayer de chasser, d'écarter de soi par des gestes répétés, || Manifester de lénervement, s'exciter.",
bwâmano,,14,"naturel, Ubumúga bwâmano, buvûkano, infirmité naturelle, congé- i",
Abarwamba,,2,"famille de Hutu, descendants de Rwamba.",
Abênerwamba,,,"famille de Tutsi, dont l'ancêtre éponyme était Rwamba.",
umwămba,imy-,,solive,Syn
kwâââmbagira,-iye,,chercher en vain.,
kwâmbagirana,-anyee,,"se fatiguer à plusieurs sans trouver ce qu'on cherche. | Kwâmbagirana umwâna, flâner avec un enfant suy le dos.",
kwâmbagirika,-tse,,chercher qqn sans le trouver.,v
kwâmbagizwa,-jwe,,"être envoyé plusieurs fois à tel endroit, aller d'Hérode à Pilate.",v
kwîyàambaguwra,-ye,,"jeter les bras au ciel, Syn. kwisārumba.",v
kwambamba,-mvye,,se tordre de douleur; demander du secours à n'importe qui sans espoir d'en recevoir.,v
kwambambira,-ye,,supplier.,n
umwâmbango,imyâmbango,3|4,Mezoneurwin angolense WELW. ex OLIV.,n
kwambara,-ye,,"se vêtir, s'habiller. Kwambara amaremba, être pauvremeni vêtu. Kwambara ikirēhamweko, s'habiller richement. Kwambara ubùsa, être nu. || Porter des ornements, des parures. Kwambara amaròri, porter des lunettes. Xwambara isâha, porter un bracelet-montre. Kwambara ibihēko, porier des amulettes. Mw-izosi bămbara iìgihėte, au cou, on se parait d'un croissant.",v
inyámbarabămi,,,,v
Abâmbaramísănga,,,,v
kwambarana,-nye,,se vêtir de plusieurs habits,se
Vbwambaràngwe,,,,Y
kwambarira,-ye,,"se vêtir pour, à tel endroit",se
urwambariro,-ambarir-,,taille,
kwambariza,-je,,"intercéder, prier, demander instamment pour",
Nyamwambariza,,,Dieu,
umwambaro,imy-,3|4,"vêtement, costume complet",
inyàmbaro,,9|10,vêtement.,n
kwambarwa,-bawe,,être habillé.,v
inyàmbárwa,,,"parure, vêtement, habit gue lon porte.",n
amămbarwa,,56,corne.,n
icămbarwa,ivy-,78,"vêtement, - collier, bracelet, parure, antuileite, etc, Tout ce que lon porte sur le corps, même, lunettes ct bracelet-montre.",n
kwambaza,-je,,"prier avec insistance, Supplier, || Aider qan à se vêtir. || Fig. Kwambaza ibára, détruire la réputation de qqn.",v
kwambika,-tse,,"vêtir, habiller. Donner beaucoup d'habits ou de parures à sa femme.",v
kwiÎyàmbika,-tse,,"se vêtir, s'habiller, se parer.",V
Kwiyàmbika,,,"se déshonorer, s'attirer le mépris.",V
Kwiyàmbika,,,"être dévergondé, dissolu, débauché.",V
kwambikira,-ye,,prendre des habits. de voyage et se diriger vers.,V
kwambikiza,-je,,"se mettre en route, vêtu,",V
kwambira,-ye,,mettre du levain dans la bière.,V
kwambirana,-nye,,"servir de levain à IInzóga vy'ûrwârwá irambirana n’îiyimpéke, la bière de bananes sert de levain â celle de sorgho.",VERB
kwambiranya,-nije,,mélanger de la bière fermentiée avec une autre qui ne l'esi pas encore.,VERB
umwambiro,imy-,3|4,"levain, ferment, levure.",NOUN
umugore,,,être jeune et attiranie (femme),ADJECTIVE
umwambiro,,,"être difficile à exciter, à corrompre",ADJECTIVE
icambo,ivy-,7(8,appât que l'on emploie pour la pêche à Ha ligne.,NOUN
urwâmbokwé,,1110,"fagot, brassée.",NOUN
wăàmbu,,,"forme familière de cămbu: compère, commère.",NOUN
cămbu,,,"compère, commère mot dont se servent les beaux-parents pour se désigner, Syn. bāmwâna.",NOUN
icămbu,ivyămbu,718,"gué, pas- â un poini d'eau.",NOUN
urwămbu,,11,marché.,NOUN
kwambuka,-tse,,"traverser (un cours d'eau, un lac, un marais, à pied ou en barque). S'expatrier, passer la frontière; lever le pied, déguerpir.",VERB
kwambuka,,,traverser une rivière.,VERB
inyâmbukirá,,910,"expatrié, émigré, ćtranger. Syn. umunyámahănga",NOUN
kwambukiranya,-nije,,traverser plusieurs rivières; parcourir plusieurs pays.,VERB
kwambukirwa,-kiwe,,servir de refuge à Syn. kwÎrukirwa.,VERB
inyámbukwé,,9j10,brassée.,NOUN
umwâmburá,imy-,344,"(cfr -ambur-), kabit usé quon donne à qan.",
kwamburana,-nye,,"(cfr -ambur-), se déshabiller lun lautre.",
umwamburanyi,ab-,112,"(cfr -amburan-), brigand, pillard, voyou.",
umwămbure,ab-,1|2,"(cfr -ambur-), nu, personne nue.",
ubwămbure,,,endroit du corps où habituellement se trouvait un objet,
kwambutsa,-kije,,faire traverser,
umwambuazi,ab-,1(2,"détrousseur, pillard, brigand",
ubwambuzi,14,,"acte de banditisme, action de dévaliser",
ame,,,V. Me.,V
ubwâmé,,,"ce qui existe toujours, permanent.",pron
urwămfu,inz-,,Herbe employée en vannperie.,n
umwămi,ab-,,"roi, seigneur, sultan.",n
inyámbarabămi,,9|10,"vêtir, -ňmi 2 rois",
akôgabămi,utw-,1213,"se baigner, 2 rois",
icămi,,7,royal,
rwămi,lia,1,royallement,
akămė,,12,"être fier, dédaigneux; prendre un air pincé.",adj
Kugira,,,avoir la conscience tranquille,v
akanyábwămi,,,"Cruchon. Utunyábwăami bakunda kudúshinguramw ûbûki cânké inzóga, dans les cruchons on a habitude de garder le miel ou la bière.",n
akarângabwămi,,12j13,lieu ou objet bien visible; qui attire les regards.,n
kwâmikara,v.,,âmakara,v.
kwâmikaza,-je,,"considérer sa fenme comme une reine; acagnarder sa fjeimme, Syn. guhimakaza",
umwămikazi,ab-,42,"retine, femme dun prince, personne de haut rang. Prov. 3119,",
inyámīra,inz-,9|10,"(cfr -âm- chasser), étranger. Syn. icôhōshi",
kwâmira,-ye,,Etre sans cesse â.,
kwîyamira,-ye,,demeurer en tel état. Fréguenter tel endroit.,
kwâmira,-ye,,"chasser, écarter, détourner (par des cris, des gestes ou des. paroles).",
umwâmirá,imy-,3|4,"fruit mâr. Syn. Par ext, Récolte mûre.",
kwâmirira,-ye,,crier,n
kwâmiriza,-Je,,chasser au moyen de,v
kwîyamiriza,-je,,presser les vaches; chanter en conduisant un troupeau,v
kwâmīsha,-shije,,"avoir une belle et abondante récolte, Obtenir une récolte abondante",n
kwāmiza,-jee,,"écarter, repousser, chasser avec gestes ou cris.",VERB
kwâmiza,-je,,faisser continuellement (déposé) sur.,VERB
amâmo,,6,origines.,NOUN
icâmo,ivy,78,"âm- chasser par des cris), hurlement; ton grossier, vulgaire; vocifératior, braillement.",NOUN
inyámo,,,action de rester à tel endroti.,
urwâmo,inz-,11190,"tumulte, tapage, rumeur, vacarme.",
akâmo,,,"voix de tête, cri, bruit, tapage.",
ubwâmo,,14,"racine, origine; racine (des mots).",
umwampi,imy-,3|4,pointe de flèche.,n
urwampi,inz-,3|4,flèche de chasse.,n
akampi,utw-,3|4,fléchette.,n
kwâmūra,ye,3|4,"cueillir, récolter (roit).",v
kwââmūriza,-je,,etre en pleine floraison; éclore.,
kwâmurura,-ye,,ne plus produire (plantes).,
inyámūtsi,,,"originaire de, provenant de.",
kwâêmauza,-je,,"s'épanouir, flenrir. || Etre éhonté.",
urwamūzo,inzāmūzo,1110,fruit de la culture.,n
kwâmvamvura,-ye,,,v
umwamvuri,v. -vuri.,,,v
kwamvya,"(-ambije, inus.), (-amb--)",,"Gaspiller, | Kwamvya uwùndi, vivre aux crochets d'autrui.",v
kwîiyàmvya,-mbije,null,tenter la chance,VERB
kwâmwa,(pas de perfectif),null,être permanent,VERB
kwiîyamwa,-mwe,null,essuyer des reproches,VERB
icămwa,ivy-,718,fruit,NOUN
urwiyamwé,,,"cfe querelle, Syn. ubusînzi. || Taquinerie. Agacerie. Syn. ubusōtōranyi, ubusomborotsi, agahāhazo.",
icămye,ivy-,7|8,fruit.,
âna,,,"mot que prononcent des enfants apprenant à parler, pour dire « umwâna »,",
umwâna,,1|2,"enfant; jeune. Umwâna un jeune garçon. Umwâna une fille. Uracâri umwâna kurií we, tu es encore trop jeune pour te mesurer à lui. ||Rejeton, descendant. Umwâna wa sé, le fils de son père. Urusimbi rwasimvye abâna běnshi, (Prov.), c'est grâce aux cauris que bien des enfants sont venus au monde. || Par ext. gui n'est pas encore adulte. Sigáho, mwăna !, cesse, mon enfant? || Les pygmoïides sont considérés comme des enfants (irresponsables, mineurs). Le terme générique est umutwá. || Petits des animaux. Umwâna w'igikôkó, le jenne dune bête sauvage. || Fig. Abâna b'intoke, gifle, Gueishàkó abâna b'intoke, donner un irèfle à cinq feuilles (fig.), gifler. | Loc. Mwăna wa mââmá sinōgusiga, mon cher, je ne tabandonnerai pas. || Couvercite d'une corbeille, la corbeille elle-même étant appelée nyina (sa mère). Umwâna waja hējuru nyina na yó ikaja mūsí, le couvercle, qwon appelle Penfant est mis au-dessus, et la mère vient en dessous. Prov, 102, 156, 165, 202-208, 316-317, 345, 358, 393, 404, 450, 473, 415-476, 549, 569, 635-636, 640, 651, 662, 679, 697, 762, 802, 880, 913, 952, 1006, 1018, 1039, 1185, 1202, 1210, 1229, f286, 1333, 1506, 1509, 1519, 1581, 1610, 1646, 1664, 1751, 1809, 1814, 1856, 1869, 1882, 1890, 1940, 1950, 1601, 2052, 2155, 2258, 2277, 2307, 2342, 2366, 2387, 2389, 2407, 2503, 2524, 2531-2532, 2549, 2562, 2576, 2584, 2601, 2604, 2623, 2639, 2646, 3128-3140, 3205, 3214, 3222, 3228, 3251, 3260, 3266, 3333, 3354, 3361, 3362, 3394, 3396, 3397, 3425, 3906, 3911, 3922, 3938, 3950, 3965.",
bāmwâna,,,terme de référence désignant les beaux-parents entre eux.,n
imbúrabâna,-âna 1|2,,femme donti les enfants meurent lun après lautre.,n
urunyábāna,,11|null,maladie infantile.,n
akarútamwāna,-âna 1,12|null,"dans l'expression: inda n'akarútamwâna, charité bien ordonnée cornmence par soi-nême.",n
amâna,,,null,
icâna,ivy-,7|8,"petit, (d'un animal sauvage). Icâna c'iudămbu y'isāzi, une tarve de mouche.",
inyána,,,null,
rwâna,,,"infantile, â ta manière un enfant., Kuvúga rwâna, dire des sornettes. Syn. kudaga.",
akâna,utw-,1243,enfançon.,n
ubwâna,14,,enfance.,n
umukazâna,aba-,,"belle-fille, bru.",n
kwâna,-nyc,,crier faiblement.,v
