WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS,word,plural,noun_class,description,pos
urwăga,,11|,"difficulté; insociabilité, hargne. Syn. urugōro, umuhágātizo.",null,,,,,
kwâgaduka,,-tse|,"étre désert,",,,,,,
kwâgāga,kwâgara,-ze|,porter une grande guantité d'objeis.,null,,,,,
amăgāge,,6|,"amygdales. Gukúbita ururimi mu mägāäge, claquer la langue en signe de mépris.",null,,,,,
kwåâgama,,-mye|,ĉtre à l'étroit.,null,,,,,
kwâgambaą,,-vye|,aller à contre-Ccœ@ur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant.,null,,,,,
umwâgambo,,3ļ4|,"vaste endroit dégagé. Kurîisha umwâ- gambo, pâturer, paître dans un espace étendu où il n'y a aucune entrave, aucune haie.",null,,,,,
kwâgamiīira,-riye,"['2', '1']","travailler avec beaucoup de peine. Kwâgamira kw-isúka, piocher paresseuse- ment.",null,,,,,
inzăgamīra,10,"['2', '1']","personnes mechantes, insociables, troublions: on donne ce nort à ceux qui troublent les cérémonies royales lors du « Muganuro », fête des prémices.",null,,,,,
kwâgamura,-ye,"['2', '1']",soulever une charge très lourde.,null,,,,,
kwîyagamurą,-ye,"['2', '1']","s'ébrouer, s'agi- ter dans la poussière (poule). Syn. kwîvurunga.",null,,,,,
kwîyagamvya,-bije,"['2', '1']","se pavaner. Ubu umuntu asigaye yiyagamvya mu miháruro, mainienant on peut marcher avec arrogance impunément sur les routes.",null,,,,,
kwågänirwa,-niwe,"['2', '1']","désespérer, être sur le point de renoncer, Syn. kwihebūra.",null,,,,,
kwåâgānura,-yẹ,"['2', '1']","labourer une terre très dure. Frapper avec force, || Elargir ses champs.",null,,,,,
kwagāra,-ye,"['2', '1']","chatouiller le larynx, te palais ou la langue, démanger. Syn. gusâåsāta.",null,,,,,
kwâgara,-ye,"['pop.', 'cfr -âgamur-']",porter une lourde charge.,,,,,,
urwâgashá,inz-,"['11|10', 'cfr -âgatir-']",,,,,,,
kwâgatira,-ye,['cfr -âg-'],éire à étroit.,,,,,,
kwagāza,-je,['cfr -agār-'],"chatouiller, gratter légèrement.",,,,,,
Kwagaza,,"['fiaiter qqn.', 'tranguilliser une vache pour pouvoir la traire.']","Kwagaza inká, tranguilliser une vache pour pouvoir la traire.",,,,,,
kwîyagāzaą,-je,['cfr -agāz-'],"se gratter, se cha-totiiller.",,,,,,
umwåāgazi,imy-,"['3|4', 'cfr -âgar-']","agneau, agnelle.",,,,,,
ubwăge,,"['14', 'cfr -âg-']",pénurie (qui empêche de vivre largement).,,,,,,
kwâgira,-ye,3|4,être étroit pour,(cfr -âg-),,,,,
kwâgiranya,-nije,3|4,plaider lun contre lautre,(cfr -âgir-),,,,,
umwâgiranyo,,3|4,"rappor- tages, accusations mutuelles",(cfr -âgirany-},,,,,
kwâgiriza,-je,3|4,accuser,(cfr -âgir-),,,,,
umwâgirizi,,1/2, accusaąteur; témoin,(cfr -âgiriz-},,,,,
urwågirizo,,," témoignage, preuve; acte de notoriété",(cfr -âgiriz-),,,,,
kwâgirizwa,-jwe,," ĉtre accusé. Syn, kurégwa.",,,,,,
amâgiro,,6," refuge, secours, pro- tection",(cfr -âgir-),,,,,
,,,,,kwiyagisha,-1je,7|8,"se graiter au moyen de. Rāba abăndi itůnga rirahinda nănje nsigaje kwîyagīisha urujo, voilà comme les autres sont riches, quant à moi je n'ai plus rien, Kwiyagisha igiti, ne pas avoir d'enfants, être sans descen- dance. Prov. 1132.",
,,,,,icâgo,ivy,7ļ8,"-āâg-), calamité. || Fig. individu hardi. Surhomme, Sert à former cer- tains superlatifs. N'Icâgo mu bwênge, il est très intelligent, N'icãgo mua kwîruka, i court très vite, Prov, 601, 602, 1012, 1487, 2097, 2465,",
,,,,,kwâguka,-tse,cfr -âg-,"ĉtre large, étendu. Fig, Etre gourmand.",
,,,,,ubwăguke,14,cfr -âguk-,,
,,,,,kwåâgukirwa,-iwe,cfr -âguk-,(cfr -âguk-) avoir du bien ati soteil; ĉtre riche. || Etre confortablement assis òu couché. S'étaler. Syn. gutabama.,
,,,,,kwâgura,-vẹ,cfr -âg-,"(cfr -âg-) élargir, Syn. gutārūra.",
,,,,,,,,"AGW Kurima ukågura umusózi, cultiver en largeur, cultiver un grand champ.",
,,,,,,,,"agwe?! (inv.), interjection qui margue la fati- gue, l'épuisement; ouf! Syn. ashi !, abore ! Agwe ! inyôta yar'inyishe, ak! la soif me torturait!",
,,,,,ahā,,7|8,interjection marquant ment: eh bien!,
,,,,,icâha,ivy-,"7[8,","gêne, faute, péché, Gutêra icâha, gêner. Umugòre yabåâye icåha ahanwa numugabo wîwé, lorsque la femme est infidèle, elle est châtiée par son mari.",
,,,,,ukwâha,am-,15|6,"Gushira umuntu mu kwâha, emmener gan où lon a été invité à boire.",
,,,,,ubwâkwahá,ivyâkwahá,148,,
,,,,,ubucâkwahá,14,"-cá passer, -âhħha 15 aitis- selice",poils sous l'aisselle.,
,,,,,ubushâkwahá,14,-âha i15},poils aux ais- selles.,
,,,,,kwâha,-she,,Kwåâha chercher des herbes ou des feuilles médicinales || N’igiti bähákw amababi y'uguhînguramwo c’est un arbre dont ils cueillent les feuilles pour en faire un remède.,
,,,,,ahă,(inv.).,,interjection marquant le regret: c'est dommage!,
urwäha,,1|2,gros ennuis,,,,,,
kwåâhagirika,-tse,1|3,courir çà et là. Syn. kwirukanga.,,,,,,
kwåâhagura,-ye,2|4,"cueillir rapidement. Kwāhagura umutsíma, manger goulûment de la påte, rafler sa part.",,,,,,
kwiyahagura,-ye,1|5,"peiner, se fatiguer. Trimer. Ebe ingénņne yiyáhagura, voyez quelle activité il déploie.",,,,,,
kwîyahagurira,-yeẹ,2|6,"cueillir vite pour soi. Kwiyahagurira ubùsa, se dévouer ou être actif en vain.",,,,,,
umwiyahaguro,imy-„ 3ļ4,2|7,,,,,,,
kwâêhaguza,-je,1|8,"cueillir vite au moyen de, Kwâbaguza umuntu, aider à cueillir rapidement.",,,,,,
ubwiyahaguzi,14,3|9,façon dont on fait effort. || Par ext. gloriole,,,,,,
,,,,,kwahaha,,2|N,Ennuyer,V
,,,,,ahandi,-ndi,1|V,,V
,,,,,ahandihó,-ndihó,2|V,,V
,,,,,ahēë,,1|I,Interjection marquant l'étonnement: ah!,I
,,,,,icāhi,-hî,2|N,Peau animal ou tissu servant de couchette aux bébés. Terme protocolaire désignant tout ce que l'on étend à l'endroit où le roi s'assied ou se couche.,N
,,,,,kwåâhira,-ye,2|V,"Cueillir pour. Nkâhira ubwätsi bw'inyána, j'arracherais pour les veaux.",V
,,,,,kwîyahira,-ye,2|V,"Cueillir pour soi. S'ükwîruka magati yīyáhira, íl sait très bien.",V
,,,,,kwahīra,-riye,2|V,"Récupérer des feuilles médicinales, des simples.",V
kwâhirana,-nye,314,"arracher des herbes avec gan. Se quereller bruyamment. Se calotter mutuellement, se battre.",,,,,,
Jondamaniyáhire,la,"-jondam- penche (toi), -âħhir- cueillir: je vais cueillir moi-même",sobri- quet du mari dont la femme porte les culottes,,,,,,
kwåhirira,-ye,(cfr -åhir-),"arracher des herbes fraiches pour en donner aux veaux, || Souffrir de la faim, en être réduit à cucillir une nourri- ture d'appoint (baies, herbes sauvages).",,,,,,
kwâhirirwa,-âhiriwe,(cfr -âhir-),"recevoir du fourrage (veau). Inyána yāhirirwa, veau de six å huit semaimes.",,,,,,
kwâhiza,-jẹe,(cfr -âhir-),aider à arracher des herbes; arracher au moyen de. Sya. kumomoza. || Battre au moyen de. Calotter. Syn. guhûraguza.,,,,,,
umwâho,imy-,314,jeune tubercule de colocase. || Sentier large frayé par les frou- peaux. Syn. ikiråri.,,,,,,
ukuråho,-râho,,,,,,,,
ahore,,(inv.},"abréviation de aho rēró; locution interjective: à la bonne heure! || Eh bien, voilà! !| Ouf!",,,,,,
ahŭbwo,,2|N,"Ahùbwo mpfé, plutôt mourir! Abùbwo ni we, autant dire que cest lui. Ahübwoọo iyó yanká, Si, dut moins, il avait refusé.",adv,,,,,
Abähbuka,,2|F,Autre- - fois bouviers royaux.,,,,,,
kwåhuka,-tse,1|N,"(cfr -âh-) aller paitre (trou- peau de vaches). Syn. kurîsha. || Entamer, se mettre à àAhuke mufungúre, commen- cez donc à manger.",,,,,,
Abühuka,,2|F,"Bāhuka mu vy'ukurima, zis se mettent enfin à cultiver.",,,,,,
kwâhbukāna,-nye,2|F,"(cfr -âhuk-) se briser en deux, Tomber, se séparer de sa souche. || Par ext. divorcer.",,,,,,
