WORD,diff_status,WORD_OLD,WORD_NEW,DESCRIPTION_OLD,DESCRIPTION_NEW,POS_OLD,POS_NEW,AFFIX_OLD,AFFIX_NEW,NOUN_CLASS_OLD,NOUN_CLASS_NEW
1210,CHANGED,,kubîkiririza,,faire de petiies économies d'une façon continye,,v.,,-je,,
1211,CHANGED,,kubŝîkiriza,,avoir la manie de conserver la nourriture,,v.,,-rije,,
1292,CHANGED,,kubísānya,,être posé en travers de,,prep.,,-nije,,
1293,CHANGED,,umubísha,,ennemi,,n.,,aba-,,14
1294,CHANGED,,kubísha,,devenir méchant,,v.,,-she,,
1295,CHANGED,,kubîsha,,avoir mauvais goût,,v.,,-bîhije ou -bîshe,,
1388,CHANGED,,ibomba,,robinet,,n,,ama-,,5l6
1389,CHANGED,,kubomba,,être imbibé,,,,-mvye,,
1390,CHANGED,,kubômbagura,,faire du bruit en cognant deux objets.,,,,-bômb-,,
1391,CHANGED,,kubômbaguranya,,entrechoguer,,,,-nije,,
1396,CHANGED,,imbombo,,bonbon,,n.,,,,9|10
1397,CHANGED,,umubğmbo,,"gros colis, grand paquet, charge qui bruit",,n.,,imi-,,344
1398,CHANGED,,akanyíganzamubcěmbo,,"faire trembler, -bōmbo 3 paquet",,n.,,-nyiganz-,,12
1399,CHANGED,,kubômboka,,bruire (feuilles sèches),,v.,,-tse,,
1460,CHANGED,,kubonjabonja,,"dormir d'ennui, d'oisiveté",,n.,,-nje,,
1461,CHANGED,,umubónobóno,,graine de ricin. ikibónobóno,,n.,,imi-,,
1462,CHANGED,,kubónwa,,être irouvé,,adj.,,-nywe,,9|10
1463,CHANGED,,indóraríibōnye,,expérimenté,,adj.,,,,9|10
1484,CHANGED,,umuborgo,,gémissement,,n.,,imi-,,
1485,CHANGED,,ikibúbābúba,,champ d'éleusine après la récolte.,,n,,ibi-,,718
1486,CHANGED,,urubùbi,,"cal, ampoule",,,,,,11
1487,CHANGED,,kubúbika,,"apparaître sur la peau (éruption, boutons, tumeurs)",,,,-tsee,,
1532,CHANGED,,kubûûmba,,"façonner de Pargile, modeler.",,Arrondir,,-mvye,,
1533,CHANGED,,kwîbumba,,être rond,,Sya,,-vye,,
1534,CHANGED,,ibămba,,"terre de poterie, terre glaise, argile.",,n,,,,5
1535,CHANGED,,nyamabûmba,,mouche maçonne,,n,,,,
1548,CHANGED,,umubûmyvyi,,ustensile en terre ctiite,,n.,,aba-,,
1549,CHANGED,,nybuna,,,,v.,,v-,,
1550,CHANGED,,kubúna,,montrer son séant,,v.,,-nye,,
1551,CHANGED,,kubúnabuna,,s'activer aux soins du ménage,,v.,,-búnabunye,,
1620,CHANGED,,kwibura,,"ne pas regarder u la dépense. Kuryá ukibura, manger à sasiété.",,,,,,
1621,CHANGED,,urubúra,,grêle.,,,,efr-búr-,,11
1622,CHANGED,,imbúra,,femme dont les enfants meurent.,,,,,,910
1840,CHANGED,,igicâmurňndi,,,,v.,,,,
1841,CHANGED,,agacâmutwé,,,,v.,,-wé,,
1842,CHANGED,,incâmuzingi,,,,v.,,-zingi,,
1843,CHANGED,,urucâmuzingi,,,,v.,,-zingi,,
1876,CHANGED,,gucânya,,la discorde entre deux personnes.,,n.,,-nije,,
1877,CHANGED,,umucâânyi,,commère.,,n.,,aba-,,1|2
1878,CHANGED,,umucânzi,,"celui qui mélange les cartes aii jeu,",,n.,,aba-,,12
1879,CHANGED,,gucápaa,,"dessiner. || Photographier. imprimer, || Gucápa umuntu gifler, souffleter, icâpa, ama-",,v.,,-pye,,5|9il6
2088,CHANGED,,gucúma,,"donner un coup pour aplatir. || Devenir court. Syn. kugúfira. || Gucúmaaa ingendo, ralentir la marche. || Gucúma imări, produire pour s'enrichir.",,v.,,mye,,
2089,CHANGED,,agacúma,,petite calebasse dont on se sert pour s'administrer un lavement.,,n.,,uddu-,,1213
2090,CHANGED,,gucúmagura,,"percer à plusieurs reprises, frapper de plusiers coups de lance, de couteau.",,v.,,-ye,,
2091,CHANGED,,gucumba,,"pétrir, préparer de la pâte, | Gucumbaaa búyonga, être en difficultés, être dans de beaux draps. || « Umukwé yasânze inábukwé acûmba ati mběga muragumye ? Nawé ati mběcgaaa mupfâsóni inzara ntítumazé. Umukwé asubizaáyo ati mwehó nûûkó mukironká nûûbwó mucumbîsha ukubóko kumwėé!, un gendre trouva sa belle-mère à la maison en train de préparer de la pâte et lui dit: comment cela va-t-il? Oh, mon fils, nous mourons de faim. Le beau-fils lui répliqua: vous autres, au moms, vous avez encore de quoi pétrir ne fût-ce que d'un bras.» En cas de pénurie, il faut partager le peu qu'on a. || Mataxer, Izitámenétse musí barashóbora kuzicumbámwoo, celles qui ne sont pas cassées à la base, on peut les employer pour y malaxer (la terre glaise). (Prov. -w- 467, -ir- 1895, -irw- 2195).",,v.,,-mvye,,
2184,CHANGED,,gucúrira,,"bouleverser, raviver la peine, rappeler à qqn le bien ou la persopne qu'il a perdu, en se moquant de lui.",,,,-riye,,
2185,CHANGED,,kwîcurīra,,"entretenir ses illusions, se faire illusion.",,,,-riye,,
2186,CHANGED,,icúriro,,forge.,,verb,,ama-,,
2187,CHANGED,,incúrīro,,rappel malveillant dune personne ou d'un objet cher à qqn.,,,,,,9|10
2284,CHANGED,,kudâgaguza,,se promener lentement (mère avec ses enfants),,,,-je,,
2285,CHANGED,,indagala,,petit poisson de la famille des Clupėéides.,,,,,,9|10
2286,CHANGED,,kudágamba,,"marcher maladroitement. Etre mal reçu. Dagamba, (pop.), viens! ou aussi va-t'enl, fiche le camp!",,,,-mvye,,
2322,CHANGED,,indârabútura,,tura,,v.,,,,
2324,CHANGED,,indâraruhŭùnga,,"habile, rapide, qui comprend vite. longue pièce en fer, en acier, poutrelle, rail. costaud, komme robuste.",,v.,,,,9|10
2325,CHANGED,,kudaraza,,invoquer Kirangaā. Syn. kubandwa.,,v.,,-je,,
2326,CHANGED,,kudáraza,,mélanger les couleurs dans un travail de vannerie. Faire des tapis bariolés. Broder.,,v.,,-je,,
2327,CHANGED,,idaráza,,"secrets concernant Kiranga. se déshonorer, dévoiler un secret.",,v.,,,,5
2376,CHANGED,,kudébagura,,raconter des bêtises,,v.,,-ye,,
2377,CHANGED,,kudebara,,"être paresseux, désæuvré, nonchalant; être indifférent à tout",,adj.,,-ye,,
2378,CHANGED,,kudebarara,,lèvre inférieure pendante et qui laisse voir les dents,,n.,,-ye,,
2379,CHANGED,,idébe,,touque,,n.,,ama-,,
2528,CHANGED,,indihano,,-rihano,,,,-rihano,,
2530,CHANGED,,kudôbōra,,prendre des lun après lautre en laissant à chaque fois un intervalle de temps.,,,,-ye,,
2531,CHANGED,,kudóboza,,,,,,-je,,
2544,CHANGED,,akadodoma,,maladie des chèvres (diarrhée),,n.,,utu-,,
2545,CHANGED,,kudōdora,,"frapper (à la porte), tapoter",,v.,,-ye,,
2546,CHANGED,,kudógeza,,"éteindre complètement. Syn. kuzíimya. || Se pavaner, parader.",,,,-je,,
2547,CHANGED,,umudógi,,bracelet d'écorces de bananier tressées; parure des petits enfants.,,,,imi-,,34
2592,CHANGED,,kudôndōra,,énumérer,,v.,,-ye,,
2593,CHANGED,,kwîdondōra,,"se manifester, se révéler, se faire connaître, Sse présenter",,v.,,-ye,,
2594,CHANGED,,indôndōro,,rédaction,,n.,,,,910
2595,CHANGED,,kudôndoza,,"frapper doucement un petit coup. Băramúdondoje, on lui a donné une chiquenaude., (cfr -dôndōr-), (néol.), adjectif guatificatif. Kadôndōzi, la, (préf. patr. ka-), (cfr -dôndōr-), surnom ge celui qui a bonne mémoire, idongi, 5, pantalon serré aux jambes, culotte cavalière, culotte de golf. ubudōngo, 14, terre glaise malaxée servant de liant dans certaines constructions. Ubudōngo le mortier tde ciment). iudônugoràmvúgo, v. -vúgo, v. indongorongo, V. -TONgorongo. indongōzí, v. -rongōzi, indono, 9j10, instrument de musigue monocorde. Syn. umudúri. M.R.A.C. 41.824, 41.825, 5.,54.3. akadonongo, utu-, instrument de musique à corde froiiće, Syn. indono, umudári. M.R.A.C. 51.543. kudôĉnya, -nye, faire couler goutte à goutte. Syn. gutônyanza. indōnyi, 9|10, sorte d'antilope à petites cornes pointues: Waterbuck, Kobus defassa RUPPELL. idnzi, ama-, 5|6, forêt; brousse; savane boisée; désert. Syn. ishamba, agahinga, uruhárabú, géri, 11, 12, 13",,,,-je,,
2612,CHANGED,,indudubizi,,jaillissement d'eau (souterraine). Syn. imbizi.,,,,,,9|10
2613,CHANGED,,kudūdura,,"piler du manioc, du matis, concasser dans légrugeoir, Var. kudúdura.",,,,-ye,,
2615,CHANGED,,umudúgararo,,"révolie, terreur.",,n,,imi-,,344
2616,CHANGED,,kudúgararwa,,"dégoûté, débordé",,adj.,,-rawe,,
2617,CHANGED,,kudúgarika,,"ennuyer, attrister. Mettre dans Pembarras. Syn. kugōōra. indugi, 9j410, (cfr -dúgarar-), haine. Syn. urwânko. Jalousie, Syn. ishâri. Tristesse. Syn. umwikomo.",,n.,,-tse,,9j410
2618,CHANGED,,umudūgo,,"montée; monticule; colline, mamelon; proéminence. Syn. akadûndŭri.",,n.,,imi-,,3j4
2619,CHANGED,,ubudūgo,,"le haut. Uruhănde ruri mu budūgo, vers le sommet, vers le haut.",,n.,,,,14
2652,CHANGED,,kudumbika,,"plonger un objet dans une cavité, un liquide.",,v.,,-tse,,
2653,CHANGED,,dumbudêmbu,,petite bière fort diluée,,n.,,,,
2654,CHANGED,,ikidûmbugu,,grosse vannerie,,n.,,,,7i8
2655,CHANGED,,kudumburira,,"noyer, jeter ğ eau.",,v.,,-ye,,
2692,CHANGED,,nyabuduri,,gros et court,,n.,,,,
2693,CHANGED,,umudari,,vrombrissement produit par un objet lancé avec force,,n.,,imi-,,3|4
2694,CHANGED,,umudúri,,instrument de musique monocorde avec une calebasse comme catsse de résonance,,n.,,imi-,,3|4
2695,CHANGED,,indârú,,,,v.,,-rûrú,,
2720,CHANGED,,kudwîdwibirika,,"apparaître, sortir de sa cachette",,v.,,-tse,,
2721,CHANGED,,ē,,"oui, abréviation de ëgóô",,interj.,,,,
2722,CHANGED,,iyebere,,"danseur, participant à la danse",,n.,,,,9|10
2723,CHANGED,,umwebeya,,"adolescent, jeune homme ou jeune fille",,n.,,ab-,,1|2
2728,CHANGED,,iyebezo,,emplacement réservé à la danse.,,,,,,9|10
2729,CHANGED,,iryêbo,,espèce de sorgho. Syn. amasâka.,,,,am-,,S56
2730,CHANGED,,akêbo,,"vannerie dans laquelle on dépose la pâte dont chacun prélève au cours du repas, des boulettes, des bouchées.",,n,,,,12|i3
2731,CHANGED,,mukwegakêbo,,vannerie où lon sert,,Ta,,"-kweg-, -êbo",,12
2800,CHANGED,,kwehbuūra,,"torcher, essuyer éponger, enlever leau sur une surface.",,,,-ye,,
2802,CHANGED,,ejóbûndi,,"avant-hier ou aprèsdemain (selon le contexte). Syn. hírya y'cějo. Dernièrement, lautre jour.",,inv.,,,,
2803,CHANGED,,eka,,"non, pas du tout, nullement.",,,,,,
2836,CHANGED,,iyenda,,action de prendre,,verb,,-end-,,5
2837,CHANGED,,ubwenda,,"instrument du devin, verge magique destinée à la rhabdomancie.",,,,-nd-,,14
2839,CHANGED,,umwênda,,dette,,n,,imy-,,344
2856,CHANGED,,"nyené-, běne-",,"forme proclitique exprimant une appartenance totale : celui qui a, le propriétaire de, le maître de.",,forme,,,,
2857,CHANGED,,"mwěnè-, bëne-",,"fils de, descendant de",,noun,,,,
2858,CHANGED,,"mwëne-, bëne-",,"suivi de démonstratif de type 1 ou 2, exprime lidée: de même sorte, de même espèce, de ce genre.",,"mwëne-, bëne-",,,,
2859,CHANGED,,běnecînkwé,,frères,,,,,,2
2880,CHANGED,,ubwênge,,intelligence,,n.,,,,9|10
2881,CHANGED,,imbúrabwêpge,,"idiot, imbécile, niais",,n.,,,,
2882,CHANGED,,induhūurabwênge,,repos de lesprit,,n.,,,,9|10
2883,CHANGED,,ingírabwênge,,intelligent,,adj.,,,,9|10
2912,CHANGED,,"icênyuzi, ivyĉnyuzi",,individu qui n'a aucune pudeur.,,n.,,,,
2913,CHANGED,,umwenzi,,personne qui prépare la bière de sorgho.,,n.,,ab-,,12
2914,CHANGED,,kwenzūra,,faire jour.,,v.,,-ye,,
2915,CHANGED,,epfó,,"en bas, en contre-bas. ... être au désespoir, ne voir aucune issue. ... du côté le plus bas.",,n.,,,,
2928,CHANGED,,-eranda,,"saini, sacré.",,adjective,,semi-adjectif,,
2929,CHANGED,,umweranda,,juste,,adj.,,ab-,,12
2930,CHANGED,,ubweranda,,sainteté,,n.,,cfr-eranda,,14
2931,CHANGED,,icêrano,,fruit,,n.,,ivy-,,7|8
2980,CHANGED,,kwesana,,gronder (tonnerre),,n.,,-nye,,
2981,CHANGED,,esel,,"interjection exprimant l'admiration, un étonnement joyeux: vois donc, voilà?",,interj.,,,,
2982,CHANGED,,icěse,,ouvertement,,adv.,,ivy-,,718
2983,CHANGED,,akanyárucëse,,,,n.,,utu-,,12(13
3040,CHANGED,,gufáshanya,,s'entraider,,,,-nije,,
3041,CHANGED,,ubufáshanyi,,entraide au travail.,,n,,,,14
3043,CHANGED,,kwîfata,,"se tenir, se comporter, se conduire, avoir tel maintien",,verb,,-she,,
3048,CHANGED,,gufátanga,,"tâtonner, tâcher de se saisir de",,v.,,-ze,,
3049,CHANGED,,gufátangana,,"se saisir mutuellement plusieurs fois, |! Etre en contact â divers endroits, se toucher en plusieurs points. urufatângane, 11, file; contiguité. umufátano, imi-, 34, - poini de contact; prise mutuelle.",,n.,,-nye,,11
3050,CHANGED,,gufátanya,,"faire ensemble, s'entraider. Abâna bavyāyé bategerezwa gufátanya mu kubarera, fes enfants qu'ils engendraient, ils devaient s'eniraider à les élever. || Faire tenir ensemble. Coordonner.",,v.,,-nije,,
3051,CHANGED,,ieifátànzóka,,v.,,v.,,-yóka,,
3136,CHANGED,,umufumánya,,anus,,n.,,imi-,,3j4
3137,CHANGED,,umufumba,,résine,,n.,,imi,,344
3138,CHANGED,,ifumba,,cire,,n.,,ama-,,9i)6
3139,CHANGED,,gufumba,,"fumée, vapeur",,v.,,-mvye,,
3356,CHANGED,,ga,,,,interjection exclamative ou interrogative à sens vocatif,,,,
3357,CHANGED,,amaga,,lasse qui s'amasse sur les talons.,,n,,,,6
3358,CHANGED,,umùga,,"imi, mangouste: Myonax sanEUMMEUS Proteus.",,,,,,
3359,CHANGED,,kugaba,,commander.,,Posséder,,-vye,,
3385,CHANGED,,kugabïsha,,mettre en garde,,prévenir,,-shije,,
3386,CHANGED,,kugâbītanya,,"se rebeller, s'insurger",,n.m.,,-nije,,
3460,CHANGED,,kugagwa,,revenir sur sa décision,,v.,,-zWwe,,
3461,CHANGED,,umugáhu,,"jus de bananes pur, non coupé d'eau",,n.,,imi-,,34
3462,CHANGED,,urugahu,,poison gui faii perdre la notion des choses,,v.,,,,11
3463,CHANGED,,kugáhuka,,perdre la tête,,v.,,-tsc,,
3484,CHANGED,,kugamba,,"parler, exposer, discourir",,v.,,-mvye,,
3485,CHANGED,,kwigamba,,se vanter,,v.,,-mvye,,
3486,CHANGED,,Abagămbaa,,bonne famille hutu dont l'ancêire éponyme s'appelait Rugămba,,n.,,,,2
3487,CHANGED,,umugămba,,"rive, berge. Terme noble : pot à lait. appellatif flatteur souvent donné aux vaches",,n.,,imi,,3l4
3508,CHANGED,,ingambīri,,ténacité,,,,,,919
3509,CHANGED,,urugambīriro,,"objet quon ne veut pas céder, auquel on est attaché.",,,,,,11
3510,CHANGED,,kugambiriza,,"exciter l'envie, la jalousie.",,,,-je,,
3600,CHANGED,,kugângūza,,faire uriner yne vache,,v.,,-jee,,
3601,CHANGED,,umugáâni,,"proverbe, dieton",,n.,,imi-,,
3602,CHANGED,,agacââmugàni,,"fable express, dicton",,n.,,uducâmigáni,,
3603,CHANGED,,akagâni,,"maxime, proverbe joliment tourné",,n.,,utu-,,
3612,CHANGED,,kugânirìza,,"faire causer, enirenir la conversation",,v.,,-je,,12
3613,CHANGED,,ingânirizi,,de la conversation,,n.,,,,9|10
3614,CHANGED,,umwigāno,,"imitation, singérie",,n.,,imy-,,
3615,CHANGED,,urwÎgāno,,"imitation, contrefaçon",,n.,,,,
3628,CHANGED,,kuganūtsa,,transnetire les salutations. Syn. gutāsha.,,,,-kije,,
3629,CHANGED,,umuganúza,,gardien du tambour Karyenda;,,maitre de cérémonie,,aba-,,2
3630,CHANGED,,kugánwakaraa,,être anobii Yivre à la manière des princes.,,,,-ye,,ctr -gâánwa 1
3631,CHANGED,,umugànwakazi,,fille ou fenme de noble princesse.,,,,aba-,,1|2
3652,CHANGED,,kuganza,,ĉtre matre,,n.,,-nje,,
3653,CHANGED,,kwîganza,,(cir -ganz-),,n.,,-nje,,
3654,CHANGED,,inganzamarumbu,,,,v.,,-rumbu,,
3655,CHANGED,,igânzamwônga,,,,V.,,,,
3682,CHANGED,,kgarama,,tune de aécembre,,,,,,15a
3683,CHANGED,,urugarama,,"fosse où Pon fait mâûrir artificiellement les bananes avant d'en extraire le jus, de les brasser",,,,in-,,
3692,CHANGED,,ubugáramé,,"â la renverse, face vers le ciel, Igikara kiragwa ubugáramé, le félin tomba les quatre fers en lair.",,ubugáramé,,,,14
3694,CHANGED,,akagari,,hameau,,noun,,utu-,,12|13
3695,CHANGED,,ubugari,,pâte cuite; polenia,,,,,,14
3736,CHANGED,,kugata,,"gêner, engourdir",,verb,,-see,,
3737,CHANGED,,ikigáâta,,rouleau de tabac.,,Pneu,,ibi-,,7|8
3738,CHANGED,,ingáta,,"tortillon, coussinet; sert à caler les récipients. le coccyx.",,n,,,,
3739,CHANGED,,urugáta,,"grand tortiillon en paille tressée destiné à recevoir cruches, pots, etc, dont la base arrondie empêche qu'on les pose sur le sol.",,,,,,11
3744,CHANGED,,kugátagurika,,se fissurer,,v.,,-tse,,
3745,CHANGED,,ingàti,,épais,,adj.,,,,910
3746,CHANGED,,gatīitiba,,voleur,,n.,,,,lal2a
3747,CHANGED,,ingatu,,cadavre,,n.,,,,910
3760,CHANGED,,ingayágurwa,,"comme vil, bas, méprisable",,adj.,,,,9|10
3761,CHANGED,,kugáyamvya,,étendre,,v.,,-mbije,,
3762,CHANGED,,kugayana,,se mépriser mutuellement,,v.,,nye,,
3763,CHANGED,,kwîgayīsha,,se jaire mépriser,,,,-shije,,
3764,CHANGED,,umugayo,,déshonneur,,n.,,,,
3765,CHANGED,,akagayo,,"dédain, mépris",,n.,,,,
3766,CHANGED,,akagaza,,"maladie des patates; ou bien elles pourrissent en terre, ou encore elles sont filandreuses et ont un goût d'amertume prononcé",,n.,,,,
3767,CHANGED,,kugazagura,,cultiver un terrain meuble,,v.,,-ye,,
3828,CHANGED,,kugéna,,"désigner, montrer du doigt. Déterminer, Choisir.",,v.,,-nnye,,
3829,CHANGED,,intêmbabúgenda,,"crouler, marchant",,adj.,,,,9|10
3830,CHANGED,,ikigendabunyovu,,,,v.,,v-,,
3831,CHANGED,,mgêndabútemba,,temba,,v.,,,,
3832,CHANGED,,kugendagenda,,se promener,,,,-gendagenze,,
3833,CHANGED,,kwîgendagendera,,"se promener seul, en toute tranquillité.",,se promener,,-ye,,
3834,CHANGED,,kugendagendēsha,,"promener qan, faire faire un tour.",,,,-gendagendëēsheje,,
3835,CHANGED,,ingendamunká,,"accompagner, marcher ensemble.",,verb,,v. -ká,,
3856,CHANGED,,kugendūra,,parcourir,,v.,,-ye,,
3857,CHANGED,,umugendāzi,,inspecteur,,n.,,aba-,,112
3858,CHANGED,,kugendwa,,ĉtre fréquenté (chemin),,adj.,,-genzwee,,
3859,CHANGED,,ingéne,,commenti,,v.,,,,9
3904,CHANGED,,akagenza,,conduite,,,,-genz-,,12
3906,CHANGED,,kwîgenza,,"se comporter, -agir de telle façon.",,"se comporter, -agir de telle façon.",,-njeje,,
3907,CHANGED,,ikizígenza,,chef militaire.,,n,,-zi-,,7l8
3936,CHANGED,,ikigéra,,savane herbeuse,,n.,,ibi-,,718
3937,CHANGED,,ingerabicu,,surnom de la gazelle,,n.,,,,
3938,CHANGED,,kugeragereza,,"se décarcasser, faire de grands efforts en wue de",,v.,,-je,,
3939,CHANGED,,kwîgeragereza,,"se débrouiller tout seul, se tirer d'affaire sans aide, tirer son plan",,v.,,-je,,
3944,CHANGED,,kugeramira,,menacer de tomber sur gach,,,,-ye,,
3945,CHANGED,,kugeramirwa,,être Sous la menace de.,,,,-miwe,,
3947,CHANGED,,inngerâne,,"équivalent, cadeau en retour",,Prov,,,,9|10
3952,CHANGED,,umugėre,,coup de pied,,n.,,imi-,,314
3953,CHANGED,,ingère,,mesure,,n.,,,,910
3954,CHANGED,,ingerégere,,gazelle,,n.,,,,9|10
3955,CHANGED,,bugerésere,,gazelle,,n.,,,,Ia
3956,CHANGED,,urugereka,,premières feuilles du haricot,,,,in-,,1110
3957,CHANGED,,kugereka,,"mettre au-dessus, superposer, ajouter.",,,,-tse,,
3958,CHANGED,,umugéreká,,lance au fer bien poli V. itêrano.,,,,imi-,,
3980,CHANGED,,ibigero,,taille d'adulte,,n.,,,,112
3981,CHANGED,,urugero,,mesure,,n.,,in-,,11
3982,CHANGED,,ikirengàngero,,surnombre,,n.,,ibi-,,78
3983,CHANGED,,ikirengarugero,,exagération,,n.,,ibi-,,11
3996,CHANGED,,umugesera,,"nom donné aux gens originaires du Bugesera (v. carte) qui, autrefois, se seraient révoltés contre le pouvoir central",,n.,,aba-,,
3997,CHANGED,,ubugesera,,méchanceté,,n.,,,,14
3998,CHANGED,,kugesēsha,,"faire couper, faire moissonner, aider les MoissSonnenrs.",,v.,,-sheje,,
3999,CHANGED,,kugeseza,,causer un grand dommage,,v.,,-je,,
4016,CHANGED,,kugeza,,"jusqu’à, Kugeza ku kwêzi kw'umuganuro, muri Kigarama, umwămi ntâbá arâfungura umutsíma wamasáka, ntābá arânywá inzóga yamahbondaa, kirazira, mois du muganuro, en décembre, le roi ne peut pius manger de potenta de sorgho, il ne peut plus boire de bière de sorgho, c'est interdit.",,,,,,
4018,CHANGED,,amagéza,,magie,,noun,,,,6
4019,CHANGED,,ngezaho,,point de SUSPEnsSİOn.,,,,,,9a|1a
4029,CHANGED,,kugigimiza,,"parler d'une voix chevrotante, chevroter; bredouiller",,,,-je,,
4030,CHANGED,,ubugigimizi,,"chevrottement, zézaiement",,,,,,14
4031,CHANGED,,umugigimo,,"bruit sourd, grondement. Umugigimo w'îmvúra, fe crépitement de la pluie. Umugigimo w'fsi, un séisme.",,,,,,3
4068,CHANGED,,umushingàngingo,,"décision), juge.",,n.,,aba-,,10
4069,CHANGED,,ubugingo,,"moment présent, temps.",,n.,,ama-,,
4070,CHANGED,,kwîginira,,se réjouir de.,,v.,,-ye,,
4071,CHANGED,,umwfgino,,"exultation, jubilation.",,n.,,imy-,,
4077,CHANGED,,kwigira,,"së comporter, se faire, Kwîgira akatăbonetse, être exiravagant.",,,,-ze,,
4078,CHANGED,,kugīra,,"aller à, pour.",,,,-giriye,,
4079,CHANGED,,kwigira,,"s'en aller, partir de soi-même. Par ext. mourir.",,,,-igiriye,,
4132,CHANGED,,umunyákigó,,fille,,,,aba-,,1|2
4134,CHANGED,,inárugó,,"maîtresse de maison, mère de famille.",,n,,,,
4135,CHANGED,,umunyárugó,,serf attach à la glèbe et cultivant pour son patron.,,"Néol, gardien de but, de goal (au jeu de balon).",,aba-,,12
4176,CHANGED,,kugogera,,boire à longs traits,,v.,,-ye,,
4177,CHANGED,,kugogeza,,forcer à boire,,v.,,-je,,
4178,CHANGED,,umugògo,,passerelle,,n.,,imi-,,344
4179,CHANGED,,kugogoma,,descendre,,v.,,-mye,,
